CODIGO,date,value,who_entered
17015010,2025-03-10,0,7
17025020,2025-03-10,0,7
15015050,2025-03-10,0,7
14015080,2025-03-10,0,7
15065180,2025-03-10,0,7
28025502,2025-03-10,0,7
13035501,2025-03-10,0,7
12015070,2025-03-10,0,7
23155030,2025-03-10,2.2,7
23195502,2025-03-10,0,7
16015010,2025-03-10,0,7
27015330,2025-03-10,0,7
23085270,2025-03-10,1,7
26155110,2025-03-10,0.4,7
26135040,2025-03-10,0,7
26125061,2025-03-10,0,7
21245040,2025-03-10,0,7
21205791,2025-03-10,0,7
21202280,2025-03-10,0.2,7
26075040,2025-03-10,0,7
21115020,2025-03-10,0,7
52045020,2025-03-10,21,7
52055230,2025-03-10,3.5,7
11045010,2025-03-10,17.8,7
53115010,2025-03-10,16.2,7
37055010,2025-03-10,0,7
38015030,2025-03-10,0,7
35035020,2025-03-10,11.4,7
34015010,2025-03-10,0,7
48015050,2025-03-10,0,7
26125120,2025-03-10,0.4,7
2120080,2025-03-10,0,7
2401042,2025-03-10,0,7
2120659,2025-03-10,0,7
2120629,2025-03-10,0,7
2120516,2025-03-10,0,7
2401036,2025-03-10,0,7
2119514,2025-03-10,0,7
2306517,2025-03-10,16.2,7
2120647,2025-03-10,1.5,7
2306039,2025-03-10,1.3,7
2120646,2025-03-10,2.4,7
2119022,2025-03-10,8.2,7
2306507,2025-03-10,19.5,7
2306033,2025-03-10,0,7
2120644,2025-03-10,0,7
2401043,2025-03-10,0,7
2401513,2025-03-10,0,7
2401115,2025-03-10,3.2,7
2120190,2025-03-10,0,7
2120074,2025-03-10,0,7
2120652,2025-03-10,0.2,7
2120174,2025-03-10,0.1,7
2120166,2025-03-10,0,7
2119046,2025-03-10,2.2,7
2120182,2025-03-10,27.8,7
2120168,2025-03-10,4.5,7
2401037,2025-03-10,1,7
2401515,2025-03-10,0,7
2120540,2025-03-10,0,7
2306040,2025-03-10,0,7
2120077,2025-03-10,7.5,7
2123007,2025-03-10,2.4,7
2401534,2025-03-10,6.9,7
26030150,2025-03-10,1.3,7
26020030,2025-03-10,0,7
25025080,2025-03-10,0,7
29015000,2025-03-10,0,7
29030050,2025-03-10,0,7
25025170,2025-03-10,0,7
25020140,2025-03-10,6.9,7
29040240,2025-03-10,0,7
29040230,2025-03-10,0,7
25025160,2025-03-10,0,7
25021350,2025-03-10,0,7
25025190,2025-03-10,0,7
29015020,2025-03-10,0,7
29040310,2025-03-10,0,7
25020470,2025-03-10,0,7
12030010,2025-03-10,0,7
29035110,2025-03-10,0,7
14010050,2025-03-10,0,7
29035080,2025-03-10,9,7
14010010,2025-03-10,0,7
29040260,2025-03-10,5,7
29040250,2025-03-10,14.5,7
25021280,2025-03-10,0,7
29040300,2025-03-10,0,7
14010020,2025-03-10,0,7
29040020,2025-03-10,0,7
25020700,2025-03-10,0,7
25020960,2025-03-10,0,7
13015040,2025-03-10,0,7
29035040,2025-03-10,0,7
13090050,2025-03-10,0,7
13085010,2025-03-10,0,7
13075020,2025-03-10,0,7
13090040,2025-03-10,0,7
25025270,2025-03-10,0,7
13085030,2025-03-10,0,7
25025380,2025-03-10,0,7
12045020,2025-03-10,0,7
29040450,2025-03-10,0,7
25020760,2025-03-10,0,7
25025210,2025-03-10,0,7
25020950,2025-03-10,0,7
13075010,2025-03-10,0,7
12045010,2025-03-10,0,7
13030010,2025-03-10,0,7
25021370,2025-03-10,0,7
29035030,2025-03-10,0,7
29035000,2025-03-10,0,7
25025240,2025-03-10,0,7
29060090,2025-03-10,0,7
28040030,2025-03-10,0,7
28015070,2025-03-10,0,7
28040010,2025-03-10,0,7
28010360,2025-03-10,0,7
15060180,2025-03-10,0,7
15060040,2025-03-10,0,7
25020250,2025-03-10,0,7
15030010,2025-03-10,0,7
25021600,2025-03-10,0,7
1506500197,2025-03-10,0,7
28010340,2025-03-10,0,7
29060200,2025-03-10,0,7
15045010,2025-03-10,0,7
15075030,2025-03-10,0,7
15085030,2025-03-10,0,7
2804500195,2025-03-10,0,7
29060040,2025-03-10,0,7
15075501,2025-03-10,0,7
15010010,2025-03-10,0,7
15065501,2025-03-10,0,7
1501500196,2025-03-10,0,7
28040100,2025-03-10,0,7
29050020,2025-03-10,0,7
15010501,2025-03-10,0,7
15010300,2025-03-10,0,7
25021240,2025-03-10,0,7
29060170,2025-03-10,0,7
29060210,2025-03-10,0,7
25020220,2025-03-10,0,7
28040350,2025-03-10,0,7
25021500,2025-03-10,0,7
28010040,2025-03-10,0,7
25021630,2025-03-10,0,7
28035020,2025-03-10,0,7
28035010,2025-03-10,0,7
15085020,2025-03-10,0,7
28010370,2025-03-10,0,7
25020690,2025-03-10,0,7
29060540,2025-03-10,0,7
28040140,2025-03-10,9,7
29060270,2025-03-10,0,7
28040150,2025-03-10,0,7
29060100,2025-03-10,0,7
15080070,2025-03-10,0,7
15010020,2025-03-10,0,7
25020240,2025-03-10,0,7
28010090,2025-03-10,0,7
25020090,2025-03-10,0,7
28040300,2025-03-10,0,7
17020020,2025-03-10,0,7
1704500201,2025-03-10,0,7
23190140,2025-03-10,1,7
23195180,2025-03-10,0,7
24025040,2025-03-10,0,7
23100050,2025-03-10,0,7
23190350,2025-03-10,0,7
23145020,2025-03-10,0,7
16055060,2025-03-10,0,7
24010230,2025-03-10,0,7
24010640,2025-03-10,0,7
24040050,2025-03-10,0,7
16055010,2025-03-10,0,7
16055040,2025-03-10,0,7
23190700,2025-03-10,0,7
23125120,2025-03-10,0,7
24030210,2025-03-10,0,7
16015020,2025-03-10,0,7
24025020,2025-03-10,0,7
23180070,2025-03-10,0,7
16010010,2025-03-10,0,7
24020130,2025-03-10,0,7
37020030,2025-03-10,0,7
37035010,2025-03-10,0,7
23180020,2025-03-10,0,7
16025040,2025-03-10,0,7
23190600,2025-03-10,0,7
16035030,2025-03-10,0,7
16020010,2025-03-10,0,7
16025030,2025-03-10,0,7
16025010,2025-03-10,0,7
24010650,2025-03-10,3.2,7
24010660,2025-03-10,0,7
16020080,2025-03-10,0,7
16030080,2025-03-10,0,7
23190110,2025-03-10,,7
24020120,2025-03-10,0,7
37010020,2025-03-10,0,7
23190500,2025-03-10,0,7
23215050,2025-03-10,0,7
16015100,2025-03-10,0,7
24030950,2025-03-10,0,7
23205030,2025-03-10,0,7
24010750,2025-03-10,0,7
24015250,2025-03-10,26,7
23125060,2025-03-10,10.4,7
23125040,2025-03-10,0,7
23155040,2025-03-10,0.5,7
24015260,2025-03-10,1.2,7
23130010,2025-03-10,0,7
23210020,2025-03-10,0,7
24020040,2025-03-10,,7
24010820,2025-03-10,0,7
37010010,2025-03-10,0,7
37020020,2025-03-10,0,7
24055040,2025-03-10,0,7
23195090,2025-03-10,0,7
24011070,2025-03-10,6,7
16035010,2025-03-10,0,7
23200010,2025-03-10,0,7
24010760,2025-03-10,3.2,7
24010670,2025-03-10,0,7
16030090,2025-03-10,0,7
24020080,2025-03-10,0,7
23205020,2025-03-10,0,7
23160010,2025-03-10,0,7
24055030,2025-03-10,0,7
25020970,2025-03-10,0,7
37015020,2025-03-10,0,7
23125050,2025-03-10,0.8,7
24035400,2025-03-10,0,7
23190440,2025-03-10,6.4,7
24030340,2025-03-10,0,7
37050050,2025-03-10,0,7
